50,'brownmo01',1906,'CHN',468,'NL','WS','P',3,3,59,1,11,1,0,0,NULL,NULL,NULL
51,'chancfr01',1906,'CHN',468,'NL','WS','1B',6,6,159,61,2,0,1,0,NULL,NULL,NULL
52,'davisge01',1906,'CHA',467,'AL','WS','SS',3,3,81,7,15,2,1,0,NULL,NULL,NULL
53,'donahji02',1906,'CHA',467,'AL','WS','1B',6,6,162,80,9,1,2,0,NULL,NULL,NULL
54,'doughpa01',1906,'CHA',467,'AL','WS','LF',6,6,162,4,0,1,0,0,NULL,NULL,NULL
55,'eversjo01',1906,'CHN',468,'NL','WS','2B',6,6,159,13,19,1,3,0,NULL,NULL,NULL
56,'hahned01',1906,'CHA',467,'AL','WS','RF',6,6,150,3,0,0,0,0,NULL,NULL,NULL
57,'hofmaso01',1906,'CHN',468,'NL','WS','CF',6,6,159,10,1,0,0,0,NULL,NULL,NULL
58,'isbelfr01',1906,'CHA',467,'AL','WS','2B',6,6,162,11,16,5,0,0,NULL,NULL,NULL
59,'jonesfi01',1906,'CHA',467,'AL','WS','CF',6,6,162,9,0,0,0,0,NULL,NULL,NULL
60,'klingjo01',1906,'CHN',468,'NL','WS','C',6,6,159,45,9,1,3,0,3,NULL,NULL
61,'oneilbi01',1906,'CHA',467,'AL','WS','RF',1,0,12,1,0,0,0,0,NULL,NULL,NULL
62,'overaor01',1906,'CHN',468,'NL','WS','P',2,0,36,0,2,0,0,0,NULL,NULL,NULL
63,'owenfr01',1906,'CHA',467,'AL','WS','P',1,0,18,0,4,0,0,0,NULL,NULL,NULL
64,'pfiesja01',1906,'CHN',468,'NL','WS','P',2,1,31,0,2,1,0,0,NULL,NULL,NULL
65,'reulbed01',1906,'CHN',468,'NL','WS','P',2,2,33,0,4,0,0,0,NULL,NULL,NULL
66,'rohege01',1906,'CHA',467,'AL','WS','3B',6,6,162,4,17,3,0,0,NULL,NULL,NULL
67,'schulfr01',1906,'CHN',468,'NL','WS','RF',6,6,159,6,1,0,1,0,NULL,NULL,NULL
68,'sheckji01',1906,'CHN',468,'NL','WS','LF',6,6,159,10,1,0,1,0,NULL,NULL,NULL
69,'steinha01',1906,'CHN',468,'NL','WS','3B',6,6,159,3,9,1,0,0,NULL,NULL,NULL
70,'sullibi03',1906,'CHA',467,'AL','WS','C',6,6,162,35,10,2,1,0,0,NULL,NULL
71,'tannele01',1906,'CHA',467,'AL','WS','SS',3,3,81,1,8,0,0,0,NULL,NULL,NULL
72,'tinkejo01',1906,'CHN',468,'NL','WS','SS',6,6,159,10,20,2,0,0,NULL,NULL,NULL
73,'walshed01',1906,'CHA',467,'AL','WS','P',2,2,45,0,5,1,0,0,NULL,NULL,NULL
74,'whitedo01',1906,'CHA',467,'AL','WS','P',3,2,45,1,3,0,0,0,NULL,NULL,NULL
75,'archeji01',1907,'DET',487,'AL','WS','C',1,1,27,4,1,0,0,0,0,NULL,NULL
76,'brownmo01',1907,'CHN',484,'NL','WS','P',1,1,27,1,1,0,0,0,NULL,NULL,NULL
77,'chancfr01',1907,'CHN',484,'NL','WS','1B',4,4,117,44,1,0,3,0,NULL,NULL,NULL
