75,'graffma99',1876,'SL3',58,'NL',1,56,39,17,2,'N'
76,'mcmange99',1876,'SL3',58,'NL',2,8,6,2,2,'N'
77,'wrighha01',1877,'BSN',59,'NL',1,61,42,18,1,'Y'
78,'spaldal01',1877,'CHN',60,'NL',1,60,26,33,5,'Y'
79,'pikeli01',1877,'CN1',61,'NL',1,14,3,11,6,'Y'
80,'addybo01',1877,'CN1',61,'NL',2,24,5,19,6,'Y'
81,'mannija01',1877,'CN1',61,'NL',3,20,7,12,6,'Y'
82,'fergubo01',1877,'HAR',62,'NL',1,60,31,27,3,'Y'
83,'chapmja01',1877,'LS1',63,'NL',1,61,35,25,2,'N'
84,'mcmange99',1877,'SL3',64,'NL',1,60,28,32,4,'N'
85,'wrighha01',1878,'BSN',65,'NL',1,60,41,19,1,'N'
86,'fergubo01',1878,'CHN',66,'NL',1,61,30,30,4,'Y'
87,'mcveyca01',1878,'CN1',67,'NL',1,61,37,23,2,'Y'
88,'clappjo01',1878,'IN1',68,'NL',1,63,24,36,5,'Y'
89,'chapmja01',1878,'ML2',69,'NL',1,61,15,45,6,'N'
90,'yorkto01',1878,'PRO',70,'NL',1,62,33,27,3,'Y'
91,'clappjo01',1879,'BFN',71,'NL',1,79,46,32,3,'Y'
92,'wrighha01',1879,'BSN',72,'NL',1,84,54,30,2,'N'
93,'ansonca01',1879,'CHN',73,'NL',1,64,41,21,4,'Y'
94,'flintsi01',1879,'CHN',73,'NL',2,19,5,12,4,'Y'
95,'mccorji01',1879,'CL2',74,'NL',1,82,27,55,6,'Y'
96,'whitede01',1879,'CN1',75,'NL',1,18,9,9,5,'Y'
97,'mcveyca01',1879,'CN1',75,'NL',2,63,34,28,5,'Y'
98,'wrighge01',1879,'PRO',76,'NL',1,85,59,25,1,'Y'
99,'dorgami01',1879,'SR1',77,'NL',1,43,17,26,7,'Y'
100,'holbebi01',1879,'SR1',77,'NL',2,1,0,1,7,'Y'
101,'maculji01',1879,'SR1',77,'NL',3,27,5,21,7,'Y'
102,'phillho99',1879,'TRN',78,'NL',1,47,12,34,8,'N'
103,'fergubo01',1879,'TRN',78,'NL',2,30,7,22,8,'Y'
104,'cranesa01',1880,'BFN',79,'NL',1,84,24,58,7,'Y'
105,'wrighha01',1880,'BSN',80,'NL',1,86,40,44,6,'N'
106,'ansonca01',1880,'CHN',81,'NL',1,86,67,17,1,'Y'
107,'mccorji01',1880,'CL2',82,'NL',1,85,47,37,3,'Y'
108,'clappjo01',1880,'CN1',83,'NL',1,82,21,59,8,'Y'
109,'mcgeami01',1880,'PRO',84,'NL',1,16,8,7,2,'Y'
110,'wardjo01',1880,'PRO',84,'NL',2,32,18,13,2,'Y'
111,'dorgami01',1880,'PRO',84,'NL',3,39,26,12,2,'Y'
112,'fergubo01',1880,'TRN',85,'NL',1,83,41,42,4,'Y'
113,'bancrfr99',1880,'WOR',86,'NL',1,85,40,43,5,'N'
114,'orourji01',1881,'BFN',87,'NL',1,83,45,38,3,'Y'
115,'wrighha01',1881,'BSN',88,'NL',1,83,38,45,6,'N'
116,'ansonca01',1881,'CHN',89,'NL',1,84,56,28,1,'Y'
117,'mcgeami01',1881,'CL2',90,'NL',1,11,4,7,7,'Y'
118,'clappjo01',1881,'CL2',90,'NL',2,74,32,41,7,'Y'
119,'bancrfr99',1881,'DTN',91,'NL',1,84,41,43,4,'N'
120,'farreja02',1881,'PRO',92,'NL',1,51,24,27,2,'Y'
121,'yorkto01',1881,'PRO',92,'NL',2,34,23,10,2,'Y'
122,'fergubo01',1881,'TRN',93,'NL',1,85,39,45,5,'Y'
123,'dorgami01',1881,'WOR',94,'NL',1,56,24,32,8,'Y'
124,'stoveha01',1881,'WOR',94,'NL',2,27,8,18,8,'Y'
125,'myershe01',1882,'BL2',96,'AA',1,74,19,54,6,'Y'
126,'snydepo01',1882,'CN2',100,'AA',1,80,55,25,1,'Y'
127,'mackde01',1882,'LS2',102,'AA',1,80,42,38,3,'Y'
128,'lathaju01',1882,'PH4',103,'AA',1,75,41,34,2,'Y'
129,'prattal01',1882,'PT1',105,'AA',1,79,39,39,4,'N'
130,'cuthbne01',1882,'SL4',106,'AA',1,80,37,43,5,'Y'
131,'orourji01',1882,'BFN',95,'NL',1,84,45,39,3,'Y'
132,'morrijo01',1882,'BSN',97,'NL',1,85,45,39,4,'Y'
133,'ansonca01',1882,'CHN',98,'NL',1,84,55,29,1,'Y'
134,'mccorji01',1882,'CL2',99,'NL',1,4,0,4,5,'Y'
135,'dunlafr01',1882,'CL2',99,'NL',2,80,42,36,5,'Y'
136,'bancrfr99',1882,'DTN',101,'NL',1,86,42,41,6,'N'
137,'wrighha01',1882,'PRO',104,'NL',1,84,52,32,2,'N'
138,'fergubo01',1882,'TRN',107,'NL',1,85,35,48,7,'Y'
139,'brownfr99',1882,'WOR',108,'NL',1,41,9,32,8,'N'
140,'bondto01',1882,'WOR',108,'NL',2,6,2,4,8,'Y'
141,'chapmja01',1882,'WOR',108,'NL',3,37,7,30,8,'N'
142,'barnibi01',1883,'BL2',110,'AA',1,96,28,68,8,'Y'
143,'phillho99',1883,'CL5',114,'AA',1,97,32,65,6,'N'
144,'snydepo01',1883,'CN2',115,'AA',1,98,61,37,3,'Y'
145,'gerhajo01',1883,'LS2',117,'AA',1,98,52,45,5,'Y'
146,'mutriji99',1883,'NY4',119,'AA',1,97,54,42,4,'N'
147,'knighlo01',1883,'PH4',120,'AA',1,98,66,32,1,'Y'
148,'prattal01',1883,'PT1',123,'AA',1,32,12,20,7,'N'
149,'butleor99',1883,'PT1',123,'AA',2,53,17,36,7,'N'
150,'battijo01',1883,'PT1',123,'AA',3,13,2,11,7,'Y'
151,'sullite01',1883,'SL4',124,'AA',1,79,53,26,2,'N'
152,'comisch01',1883,'SL4',124,'AA',2,19,12,7,2,'Y'
153,'orourji01',1883,'BFN',109,'NL',1,98,52,45,5,'Y'
154,'burdoja01',1883,'BSN',111,'NL',1,54,30,24,1,'Y'
155,'morrijo01',1883,'BSN',111,'NL',2,44,33,11,1,'Y'
156,'ansonca01',1883,'CHN',112,'NL',1,98,59,39,2,'Y'
157,'bancrfr99',1883,'CL2',113,'NL',1,100,55,42,4,'N'
158,'chapmja01',1883,'DTN',116,'NL',1,101,40,58,7,'N'
159,'clappjo01',1883,'NY1',118,'NL',1,98,46,50,6,'Y'
160,'fergubo01',1883,'PHI',121,'NL',1,17,4,13,8,'Y'
161,'purcebl01',1883,'PHI',121,'NL',2,82,13,68,8,'Y'
162,'wrighha01',1883,'PRO',122,'NL',1,98,58,40,3,'N'
163,'barnibi01',1884,'BL2',127,'AA',1,109,63,43,6,'N'
164,'tayloge99',1884,'BR3',129,'AA',1,109,40,64,9,'N'
165,'schmegu99',1884,'CL5',135,'AA',1,110,69,39,2,'N'
166,'whitewi01',1884,'CN2',136,'AA',1,72,44,27,5,'Y'
167,'snydepo01',1884,'CN2',136,'AA',2,40,24,14,5,'Y'
168,'giffoji99',1884,'IN2',139,'AA',1,87,25,60,11,'N'
169,'watkibi01',1884,'IN2',139,'AA',2,23,4,18,11,'Y'
170,'walshmi99',1884,'LS2',141,'AA',1,110,68,40,3,'N'
171,'mutriji99',1884,'NY4',144,'AA',1,112,75,32,1,'N'
172,'knighlo01',1884,'PH4',145,'AA',1,109,61,46,7,'Y'
173,'mcknide99',1884,'PT1',149,'AA',1,12,4,8,10,'N'
174,'fergubo01',1884,'PT1',149,'AA',2,42,11,31,10,'Y'
175,'battijo01',1884,'PT1',149,'AA',3,13,6,7,10,'Y'
176,'creamge01',1884,'PT1',149,'AA',4,8,0,8,10,'Y'
177,'phillho99',1884,'PT1',149,'AA',5,35,9,24,10,'N'
178,'mosesfe99',1884,'RIC',150,'AA',1,46,12,30,10,'N'
179,'williji99',1884,'SL4',151,'AA',1,85,51,33,4,'N'
180,'comisch01',1884,'SL4',151,'AA',2,25,16,7,4,'Y'
181,'mortoch01',1884,'TL1',154,'AA',1,110,46,58,8,'Y'
182,'holliho01',1884,'WS7',156,'AA',1,62,12,50,12,'N'
183,'bicke99',1884,'WS7',156,'AA',2,1,0,1,12,'N'
184,'orourji01',1884,'BFN',126,'NL',1,115,64,47,3,'Y'
185,'morrijo01',1884,'BSN',130,'NL',1,116,73,38,2,'Y'
186,'ansonca01',1884,'CHN',132,'NL',1,113,62,50,5,'Y'
187,'hackech99',1884,'CL2',134,'NL',1,113,35,77,7,'N'
188,'chapmja01',1884,'DTN',138,'NL',1,114,28,84,8,'N'
189,'priceji99',1884,'NY1',143,'NL',1,100,56,42,4,'N'
